Row,SA_meanCT,RR_meanCT,RVNS_meanCT,SD_meanCT
..89....751.6.2.3.6.45.3..83...5.......4..1.2825..79..7...4.6...5.8...24.69..13..,0.0623981,0.0288866,0.0150551,0.3025697
.5.3.....3.7..156..69..72.8..642..7.8.....42....7.5..97..8.4.1.59..6.3....49..8.2,0.1278436,0.0483876,0.4110666,0.5536697
..2..34.931...7..675.642..8..8....434...5..2.6.17..9...7.1895......2..1..8...63..,0.0665025,0.0260997,0.0105995,0.3023047
8.4.2.51...61.32.992..75.....3....84.6.7.1..57..83.1....95..67.2....9..1.4.....38,0.0687994,0.0271553,0.0100207,0.0037614
...56..8.7..9..4..56827.1...92....138.54.172...6..5....4..3765...1...8.2...1...9.,0.0667337,0.0222878,0.012384,0.3025009
8.271.6.9..9.4...3...6...872..8935....5...39...6.2..18.7345...6..19..4..5....2...,0.0707161,0.0516736,0.0244649,0.5537224
7..2.9681.4.65.3..9.......7.8...415.........8163..82....8.6.7.3.9.4.2....527...6.,0.091698,0.0546775,0.2788282,0.2051733
.3.854...9..7..2...4.2..7.83......8..2..1.5.38.9..362..16.9..5.5.7.4..9......64.7,0.0828321,0.037171,0.013536,0.7046359
2.31.4.....89..1..1.48..7.6.....3.1....428..5..67..9327.1....5993...74..4.2....8.,0.0783113,0.0400831,0.0221769,0.0061803
7..14.65...97.2..386...9..2.85..3.24..4...9..1.3..6.8.54.6......2.5873......9.7..,0.0641125,0.0236587,0.7587178,0.7525072
1....4.....3.218...4.3...96...8..6...97.1.5..83..97.2.2.9..5....84.3.2.7.756....4,0.0742035,0.0293381,0.3662805,0.0042431
3.6..948.4.76.......987.5..6..5.2.1...4.9.7...1.38....8.1..3..6.9....1355..72...4,0.0722314,0.0384817,0.0102927,0.0033974
.245..1....37...5.65..2...859..3.86....19..3...1...27.4378.5..6.1.96......82....4,0.0912851,0.0325219,0.9082877,1.2032379
74.3..1.6.18..92....54....7...96..1.....5.73.2..7.89.45.71.....42..3....6.9..28..,0.0705951,0.0333687,0.1620692,0.0042803
.31..6...2.9.5..4.47....3.6..4.9.8...8.163.9.......735157..2..4....872.9..2.41...,0.0678074,0.0352536,0.0121467,0.0038533
.92...73...18.....7...6..185..3..87..4.91.6.39....62..1...85.626.3.72.94.........,0.0996329,0.100199,0.0286867,0.3051279
..84.5..6296.....43....1.9..5.91...28...3..7..1..6795...43.81..6.....2.5...27.8..,0.0647839,0.0212444,0.0105664,0.0029732
5..9.7....41...95..67..18..42..8..363...56.91....72..5..2.14.7...9.3..4.65......2,0.0680262,0.02934,0.01034,0.0030887
