Row,z_1,z_2
..89....751.6.2.3.6.45.3..83...5.......4..1.2825..79..7...4.6...5.8...24.69..13..,5.13384974472032,-1.46099682857244
.5.3.....3.7..156..69..72.8..642..7.8.....42....7.5..97..8.4.1.59..6.3....49..8.2,5.15178606624002,-1.26005738743154
..2..34.931...7..675.642..8..8....434...5..2.6.17..9...7.1895......2..1..8...63..,4.63628834474296,-2.36254277318513
8.4.2.51...61.32.992..75.....3....84.6.7.1..57..83.1....95..67.2....9..1.4.....38,4.66630864702854,-0.565546298777777
...56..8.7..9..4..56827.1...92....138.54.172...6..5....4..3765...1...8.2...1...9.,4.82450867624706,-1.43279883048939
8.271.6.9..9.4...3...6...872..8935....5...39...6.2..18.7345...6..19..4..5....2...,4.81813984940389,-1.74620450496623
7..2.9681.4.65.3..9.......7.8...415.........8163..82....8.6.7.3.9.4.2....527...6.,4.93107191948794,-1.44226161264781
.3.854...9..7..2...4.2..7.83......8..2..1.5.38.9..362..16.9..5.5.7.4..9......64.7,4.51293884251243,-2.13602641037975
2.31.4.....89..1..1.48..7.6.....3.1....428..5..67..9327.1....5993...74..4.2....8.,4.78553360593118,-1.30951687636794
7..14.65...97.2..386...9..2.85..3.24..4...9..1.3..6.8.54.6......2.5873......9.7..,4.50253960995611,-2.14434090911319
1....4.....3.218...4.3...96...8..6...97.1.5..83..97.2.2.9..5....84.3.2.7.756....4,4.43953884571753,-2.46427853571919
3.6..948.4.76.......987.5..6..5.2.1...4.9.7...1.38....8.1..3..6.9....1355..72...4,3.8770404178588,-1.21790908732511
.245..1....37...5.65..2...859..3.86....19..3...1...27.4378.5..6.1.96......82....4,5.00163052793498,-1.43227198353377
74.3..1.6.18..92....54....7...96..1.....5.73.2..7.89.45.71.....42..3....6.9..28..,5.1646890471555,-1.36758943303287
.31..6...2.9.5..4.47....3.6..4.9.8...8.163.9.......735157..2..4....872.9..2.41...,5.18039461957742,-1.2466931690475
.92...73...18.....7...6..185..3..87..4.91.6.39....62..1...85.626.3.72.94.........,3.86614566482691,-0.464075754292672
..84.5..6296.....43....1.9..5.91...28...3..7..1..6795...43.81..6.....2.5...27.8..,4.62364795150949,-2.37713237413082
5..9.7....41...95..67..18..42..8..363...56.91....72..5..2.14.7...9.3..4.65......2,4.98195372500999,-1.34226878390888
..3..961.9..4....3.5..7394..6.1.85.27...9.8..24..6......4...3.7...58.2.18.12....6,4.61879342799783,-2.30113557565237
.19...2.323...146...8..7......2.697.92.84...1.64.3...5...1.8.5.3.6.7..9.8..56...2,5.4855788418678,-1.18347829372362
.1..4..29..26.57.....3.9....941.28...7.9...13....8.6.42598...361.84.3...7.....1.5,5.20689953707446,-1.3524314175891
569.1..78..4.7.2...3.9...6.6..5..19.12...3.46..34..8.2...2.83..47...9.....1.56...,5.25328032175588,-1.31141688021118
.675.1.3.........9...6.84.5.5.716.8..41...2......293...95....48.12.4.5...8.9....6,4.34443882340736,-1.63779332880714
....84.539....2.1....9..726..7..83..3594...8...4..76.1.8..135.......6..476.5....2,4.28938012177782,-2.38991545981219
792..16......7..34..4.86....5.7.94.2.1..3.8....9.6...5.......816.14..57.583.2.9..,4.3958734599645,-2.30127847953083
....43..7......285786.1.....5..68.9..71...84.6..9....331..8.6....962..5.2..4.197.,5.24984412914425,-1.2643192970097
6.9.....13...7.2....8.39..5...41..5..6.5.28..9.4..3.6.7....8...28..573.4...2.19.7,4.3241966205975,-2.4255989588569
5......2..4...96..3...58...2.67..1.989..1.5.3.37.....6.7.86.45..8...4.9....9.2..7,4.74167139970057,-1.26006287236881
....41.76..5..8...2..76.8.9.821.4....7...29.54..97.1..5..3...8.3.1..5..469......3,4.36936368582671,-2.26885443894168
..6..235...2..8.79.9.14..8...5.83.67.4.......7.861.2..5.......69.17..52...32.61.4,5.35270697767799,-1.42547294049789
9.2..58.3...9......534...6..6.2..9.152...84..1.7....8...614.5..4....3.1787.6...3.,4.2958486997068,-2.41151056810788
1......75...619.43.8.4...2...5....8.89....362..47.25.175..936...2...4..8..3..1..9,4.47789062629347,-2.35763087883066
8.692...1.5.....7...7..4..26....3.5.53...624....18..9.19..7.3.4....1.72.3.2.58..6,5.13939922746848,-1.45347289416168
369..1.8......2....2.4.61.3.983...712..7..5...45..86.947..9..1.8.3.2...4..6.5.3..,5.39012971078221,-1.5899331199689
.4.26.3.7..65.892.8...34....9..5.61.7.1..3..9453...8..372...4....5....6..8..19...,5.16242685638927,-1.50785119069939
.6..5.....9..815.73.1..2.64..482....2...1.7.9.1893...67.......3.43...9..685....2.,4.34171436093466,-2.32361405164768
...3...7.56.14..3..4...96...3...1..8198.3..67...29..5.31.6.248.8......2...7..5.91,4.90878642336703,-1.56464364563758
.....9..6..5.17..83...8.27.6.3.9.....8...2.4..2..359.181.4..6.7.9..283..4.7.618.5,5.75256522683886,-0.766944954026979
..6..3......9.81..48.521....9.....13..53...6.7...842..1.4.9...5.29..687...345.6..,4.31673584802929,-2.21045197882131
....46..5.15....26..2..83..86..1.297.....7431...3...6.9.4.......2.78..1..315.9.8.,4.7546181669769,-1.46758738787819
...67....56..3...774.5.21..1.2...9.39..1...45.34.8..........89..754...36.912.8.7.,5.14192413534429,-1.5696347572981
..3..6...45....8.....1..46.....4.92.89...7.....7......5..6...9.96.7.4.8.....915..,0.431782206274992,1.22891180153775
12..8..59..6.7.........3..48..2.75....5..4.....4....23......8716.8......5...3..9.,1.53626558434218,-2.21713232279143
..35...6...62....8...1......9..7...5........1.4..3..7..1.....425..84....9.....8.7,-1.02016708902999,-2.42897764558535
1...5..8.........1...23.5.4.3.6.....9.2....1.5...42..7.......3.298...4....48...7.,-0.0959017360549323,-0.892431372815384
.2....4.9..69...27.8....61....6.......1..257....4....8.345.7....18.6....67..8.2..,1.76719437148929,0.37679258343509
..3.6..9.4...89..2....1.....32.7.169...8.3..7.4......8.68....7.2..14...6.........,-0.892489989962966,-0.85537447046249
.....67........12..8..3....8.5.7....2.....6..3....2.54.1.3.....9.784..1..4.....3.,0.119678768617362,-0.996180462183071
..3...7....6.8..92.8......3..4.6....5.21..36.8..4.....2.....97....2.75....8.5..2.,0.854445545400792,0.21191382408055
12.........68.......942.......7...91..7..1.468.4....3...8.34.6.9.1..........6...2,-0.225378387506753,-0.818908916715683
...56...44...9..1...9.....5...2...5783.7..2...1.....4.....3...6.68........2..1..9,-0.511626061186919,-2.88887974711766
1....5.9..56.7.8...8...3..48.....3.....487.....5...........29...1.5......971.4..6,0.090330544233093,-0.703356277005373
........84..289.....9...4...6.4...13.1....7..5.86.7....4.7..63......6.5....1...47,0.899921840507718,0.319666108105005
12.96....4.......9...23.41.5...2..........7.4.9.5.7.....57.61.3....526.....1..8..,0.956206102042429,-0.950364052078198
.2...4.894.......2.89.23..1.....5.7.2.71.....51.....2.86...........1...3...9.86..,0.257876315760811,0.35059426438349
.2...4....5.....39..9...1..2..49.7.........8..783....29....3..7.17.8.9.4...5....3,0.522511753804431,0.729625195226399
.....6....5....7......421.6.9....2..3....8.9...2..1...9....7.68........1.1.59....,-1.91984847658221,-0.317333714723381
12........5.9.3.....9....64....97....713...5.6..41..3......6...3..18..47.18.....3,1.43990703748937,0.20524594739103
.2394..7.....7.2....96....45.......7.7.1693.....5.....96...4...3.....8...4.7189..,1.99606358270611,0.0458049520691948
1.3.5..8.......2...8..3...586...7...2....98....428..673....4.....297.....4.6..9.1,2.98309270832612,-0.98185746618085
......5.8...8.1..3..9....6..176..2..5...1.6..86.....4.24.....3.....9......8..7.52,0.296498307433233,-0.875563135228638
....8.7..4..9...1......1.6.267.9...4..4....8.....7.2..3.586..........8..91.732...,0.397594915789707,-0.839980932585073
12...9...4.68...9.7.......5..16...292..1.48...3.............5.3.....5.....73..648,-0.376140993981443,-2.09855599842144
.2..7.9...56..8.3...........91.................51.24..6....97...378...6....6..294,0.602170954629138,-2.15501423568647
1.34...........29.7.9........53..1......4.8..831.9..27.12......5...28......16.5..,0.911284121310453,0.191297218389743
...69..........91..8......2..1.7....8..9..27...24316..3......8..9..8....24...73.6,0.308226606362575,-0.601179904522991
..3.4..89...8.....7....25.....1.......25..94....62..7..38.76.2..1....3..6....1...,0.144823128674425,-1.17467660384948
....6.57..56.7......9..2........1..28....37..3...5..1...84......1...726.2..6...3.,-0.0735564701884298,0.238773469137196
....5.4.9.....12.....2.......7.2...656.1.....81...5.....8..9.6..3..74.92..1.3..4.,0.760590365337425,-0.832541813045907
.2...4.9.45.91...87...2.4...........5.168.....9.37..219..4.81.5.......8.........2,0.483814042263699,-0.847463368529319
......8..4.6..7.......13....3..4..6.......73497....28...5..4.2..9.53....8..96..7.,0.962994207646269,-1.68230726383455
12..9..47.....2....8.1.3........7.94.9..5....2.8...1...6.5.9..........5..7..68.3.,-0.389398196005272,-1.2236708750544
..396...8......3..7.9..5....97..12......7....2.....45.........5..4.5...661...782.,0.547708203036615,-1.77661337644437
.2...7.954....3..1.8.5.2.....72......9....6...15....8......6..3.3.8...4.....5.7..,-0.49549063618585,-0.91842710246807
......6.......1...7.9.....5..74.3..9..1.5...2..2.8.....1.534.9.2......4.3....6.8.,-1.5219922368491,-2.24494249988543
.2....4.8....81......24..........6..56...87..931.6..423..6.92.7.......9.8.....31.,-0.0682383927725234,-0.879336893801356
1..8..5.7....97......2...16..4..8.6.5.7.42..3.6.73.....45........8....31...3...5.,0.893643933543239,-0.825910179377151
..3..47....6....38..9..3.2..672...8.8...3.572.....8...57....6.1...1.....9...6.2.7,1.91035995504403,0.00402344737445587
.....56.845..............142.1.98.3...73.6.......71.963......87..2...1..9.8...3..,1.89852791028814,-2.04767141667414
12......8..6.7......9..215.....19.36.6.......3..42....6..7..4...45........729...3,0.845140092550854,-1.01098613028091
....76.5....2.9....8...14.....9.4..28..3...........64..3...52..9.7...8....5....61,-0.79762173989287,-2.15319474754994
.2..759........1....913...6..45.7.8..7....42...83....13..4..7...........815......,-0.124089310445571,-0.653004696593445
1.39....8..6......7..4...16...3.91......1.6.....5.8.43..56..7....7....3.8.....9.4,0.462728396696501,-1.549002796988
.23....78.....1.2.......4.5....3.....9..178....852...9...4...9...5.......42..37..,0.160209059318993,-1.1213604310349
....9.8....6.7.....89.1...4.4.......39..8...6...7.3..1..8..57..2.5.....86..1.....,0.0155578634923924,0.444590332486071
.234.6.5.4.6.....1..9.5..6.........4.4.79...........7....8.95......1...7.72....83,0.0880400460534673,-0.809077525718831
...6...8.4...7...97..1.2.....7.....86...8...3.......7437..916....8.6.....6.53..4.,0.638128045227786,0.510115685665672
