Row,z_1,z_2
..89....751.6.2.3.6.45.3..83...5.......4..1.2825..79..7...4.6...5.8...24.69..13..,-1.88226985364237,-5.89189360902478
.5.3.....3.7..156..69..72.8..642..7.8.....42....7.5..97..8.4.1.59..6.3....49..8.2,-2.0896065016616,-5.74305578391797
..2..34.931...7..675.642..8..8....434...5..2.6.17..9...7.1895......2..1..8...63..,-1.99390100430798,-5.9188224113222
8.4.2.51...61.32.992..75.....3....84.6.7.1..57..83.1....95..67.2....9..1.4.....38,-0.563769598026161,-5.45615828608006
...56..8.7..9..4..56827.1...92....138.54.172...6..5....4..3765...1...8.2...1...9.,-2.08388402595769,-5.48085473332272
8.271.6.9..9.4...3...6...872..8935....5...39...6.2..18.7345...6..19..4..5....2...,-2.12629161521452,-5.36366660005041
7..2.9681.4.65.3..9.......7.8...415.........8163..82....8.6.7.3.9.4.2....527...6.,-2.04408226139399,-5.5657224177871
.3.854...9..7..2...4.2..7.83......8..2..1.5.38.9..362..16.9..5.5.7.4..9......64.7,-2.18706890194897,-5.50667271337735
2.31.4.....89..1..1.48..7.6.....3.1....428..5..67..9327.1....5993...74..4.2....8.,-2.29477271500496,-5.17395925758792
7..14.65...97.2..386...9..2.85..3.24..4...9..1.3..6.8.54.6......2.5873......9.7..,-2.24326339683401,-5.56918722446479
1....4.....3.218...4.3...96...8..6...97.1.5..83..97.2.2.9..5....84.3.2.7.756....4,-2.09673918303849,-5.48992682314168
3.6..948.4.76.......987.5..6..5.2.1...4.9.7...1.38....8.1..3..6.9....1355..72...4,-0.976079231852804,-4.93709646937902
.245..1....37...5.65..2...859..3.86....19..3...1...27.4378.5..6.1.96......82....4,-1.85209908240128,-5.60033364775075
74.3..1.6.18..92....54....7...96..1.....5.73.2..7.89.45.71.....42..3....6.9..28..,-1.84305956735629,-5.91582164667643
.31..6...2.9.5..4.47....3.6..4.9.8...8.163.9.......735157..2..4....872.9..2.41...,-1.92064287131873,-5.81696753977824
.92...73...18.....7...6..185..3..87..4.91.6.39....62..1...85.626.3.72.94.........,-1.06923608431903,-4.41387214813952
..84.5..6296.....43....1.9..5.91...28...3..7..1..6795...43.81..6.....2.5...27.8..,-1.9643814958,-6.02333943176171
5..9.7....41...95..67..18..42..8..363...56.91....72..5..2.14.7...9.3..4.65......2,-2.19043577472245,-5.64885064149611
..3..961.9..4....3.5..7394..6.1.85.27...9.8..24..6......4...3.7...58.2.18.12....6,-2.01695726041072,-5.83614802340011
.19...2.323...146...8..7......2.697.92.84...1.64.3...5...1.8.5.3.6.7..9.8..56...2,-1.74531652638368,-6.28659334575349
.1..4..29..26.57.....3.9....941.28...7.9...13....8.6.42598...361.84.3...7.....1.5,-1.89005112582432,-5.77593926271659
569.1..78..4.7.2...3.9...6.6..5..19.12...3.46..34..8.2...2.83..47...9.....1.56...,-1.79798076992349,-6.00563152326416
.675.1.3.........9...6.84.5.5.716.8..41...2......293...95....48.12.4.5...8.9....6,-2.5241665950438,-4.77422996238718
....84.539....2.1....9..726..7..83..3594...8...4..76.1.8..135.......6..476.5....2,-2.12748956404234,-5.31006660383318
792..16......7..34..4.86....5.7.94.2.1..3.8....9.6...5.......816.14..57.583.2.9..,-2.26924194848913,-5.45440388183503
....43..7......285786.1.....5..68.9..71...84.6..9....331..8.6....962..5.2..4.197.,-1.86616883973571,-6.10106504283294
6.9.....13...7.2....8.39..5...41..5..6.5.28..9.4..3.6.7....8...28..573.4...2.19.7,-2.11877182101329,-5.3466643774657
5......2..4...96..3...58...2.67..1.989..1.5.3.37.....6.7.86.45..8...4.9....9.2..7,-2.241798924343,-5.18287057571016
....41.76..5..8...2..76.8.9.821.4....7...29.54..97.1..5..3...8.3.1..5..469......3,-2.09146951869297,-5.4230419845647
..6..235...2..8.79.9.14..8...5.83.67.4.......7.861.2..5.......69.17..52...32.61.4,-1.84373773717253,-6.09557442160289
9.2..58.3...9......534...6..6.2..9.152...84..1.7....8...614.5..4....3.1787.6...3.,-2.24060022884539,-5.18221777003166
1......75...619.43.8.4...2...5....8.89....362..47.25.175..936...2...4..8..3..1..9,-2.07863215338342,-5.58159364404332
8.692...1.5.....7...7..4..26....3.5.53...624....18..9.19..7.3.4....1.72.3.2.58..6,-1.95034944551321,-5.88418991242334
369..1.8......2....2.4.61.3.983...712..7..5...45..86.947..9..1.8.3.2...4..6.5.3..,-1.77668862006833,-6.26632058089606
.4.26.3.7..65.892.8...34....9..5.61.7.1..3..9453...8..372...4....5....6..8..19...,-1.89161266694794,-5.85687340019137
.6..5.....9..815.73.1..2.64..482....2...1.7.9.1893...67.......3.43...9..685....2.,-2.13278750862252,-5.15081232590281
...3...7.56.14..3..4...96...3...1..8198.3..67...29..5.31.6.248.8......2...7..5.91,-2.11785164886427,-5.44089872419562
.....9..6..5.17..83...8.27.6.3.9.....8...2.4..2..359.181.4..6.7.9..283..4.7.618.5,-1.78528342036547,-6.07941742078946
..6..3......9.81..48.521....9.....13..53...6.7...842..1.4.9...5.29..687...345.6..,-2.26725069813899,-5.28446550753412
....46..5.15....26..2..83..86..1.297.....7431...3...6.9.4.......2.78..1..315.9.8.,-1.9663245643588,-5.35449844094213
...67....56..3...774.5.21..1.2...9.39..1...45.34.8..........89..754...36.912.8.7.,-1.90444254925507,-5.7622341387338
..3..6...45....8.....1..46.....4.92.89...7.....7......5..6...9.96.7.4.8.....915..,0.728265229247089,-0.330629824015252
12..8..59..6.7.........3..48..2.75....5..4.....4....23......8716.8......5...3..9.,-2.41287270906446,-1.97351779759739
..35...6...62....8...1......9..7...5........1.4..3..7..1.....425..84....9.....8.7,-1.57637330393167,0.561337717697374
1...5..8.........1...23.5.4.3.6.....9.2....1.5...42..7.......3.298...4....48...7.,-1.08955258346836,-0.103989115803399
.2....4.9..69...27.8....61....6.......1..257....4....8.345.7....18.6....67..8.2..,-0.950824886353748,-1.73909616985172
..3.6..9.4...89..2....1.....32.7.169...8.3..7.4......8.68....7.2..14...6.........,-1.50312333175335,1.21787339915065
.....67........12..8..3....8.5.7....2.....6..3....2.54.1.3.....9.784..1..4.....3.,-1.66844455476425,-0.29855681547236
..3...7....6.8..92.8......3..4.6....5.21..36.8..4.....2.....97....2.75....8.5..2.,-0.966779476054307,-0.476357898014107
12.........68.......942.......7...91..7..1.468.4....3...8.34.6.9.1..........6...2,-1.82561555839508,0.14900188391771
...56...44...9..1...9.....5...2...5783.7..2...1.....4.....3...6.68........2..1..9,-1.92756400555295,-0.24463410849551
1....5.9..56.7.8...8...3..48.....3.....487.....5...........29...1.5......971.4..6,-1.16396412794873,-0.226917180577878
........84..289.....9...4...6.4...13.1....7..5.86.7....4.7..63......6.5....1...47,-0.966920195965464,-0.734545532680888
12.96....4.......9...23.41.5...2..........7.4.9.5.7.....57.61.3....526.....1..8..,-1.287566412959,-0.98525876027553
.2...4.894.......2.89.23..1.....5.7.2.71.....51.....2.86...........1...3...9.86..,-0.122095757955633,-0.187736105880736
.2...4....5.....39..9...1..2..49.7.........8..783....29....3..7.17.8.9.4...5....3,-0.99334707104182,-0.204833538710309
.....6....5....7......421.6.9....2..3....8.9...2..1...9....7.68........1.1.59....,-0.716811653657617,1.90920689382503
12........5.9.3.....9....64....97....713...5.6..41..3......6...3..18..47.18.....3,-0.962396435931091,-1.38212511749424
.2394..7.....7.2....96....45.......7.7.1693.....5.....96...4...3.....8...4.7189..,-0.855277332505464,-2.08386224749551
1.3.5..8.......2...8..3...586...7...2....98....428..673....4.....297.....4.6..9.1,-2.01284696278027,-2.98253726326786
......5.8...8.1..3..9....6..176..2..5...1.6..86.....4.24.....3.....9......8..7.52,-0.667507069968462,-0.44814124396604
....8.7..4..9...1......1.6.267.9...4..4....8.....7.2..3.586..........8..91.732...,-1.26377966785797,-0.579149248139804
12...9...4.68...9.7.......5..16...292..1.48...3.............5.3.....5.....73..648,-0.959978938746876,-0.063276966919132
