Row,z_1,z_2
..89....751.6.2.3.6.45.3..83...5.......4..1.2825..79..7...4.6...5.8...24.69..13..,-7.21341335691515,-10.2152712488286
.5.3.....3.7..156..69..72.8..642..7.8.....42....7.5..97..8.4.1.59..6.3....49..8.2,-7.31005142370593,-10.393358252114
..2..34.931...7..675.642..8..8....434...5..2.6.17..9...7.1895......2..1..8...63..,-7.42020144471177,-10.6131673651516
8.4.2.51...61.32.992..75.....3....84.6.7.1..57..83.1....95..67.2....9..1.4.....38,-5.85250511206468,-11.6466277143093
...56..8.7..9..4..56827.1...92....138.54.172...6..5....4..3765...1...8.2...1...9.,-7.048056127779,-9.99960293656935
8.271.6.9..9.4...3...6...872..8935....5...39...6.2..18.7345...6..19..4..5....2...,-6.98460095583779,-9.38736053448578
7..2.9681.4.65.3..9.......7.8...415.........8163..82....8.6.7.3.9.4.2....527...6.,-7.11760895701724,-9.40680334795409
.3.854...9..7..2...4.2..7.83......8..2..1.5.38.9..362..16.9..5.5.7.4..9......64.7,-7.33671580518585,-10.3138767220819
2.31.4.....89..1..1.48..7.6.....3.1....428..5..67..9327.1....5993...74..4.2....8.,-7.24863185941187,-10.296941471502
7..14.65...97.2..386...9..2.85..3.24..4...9..1.3..6.8.54.6......2.5873......9.7..,-7.25549361978462,-10.1130225708426
1....4.....3.218...4.3...96...8..6...97.1.5..83..97.2.2.9..5....84.3.2.7.756....4,-7.2234044918206,-9.8132305621823
3.6..948.4.76.......987.5..6..5.2.1...4.9.7...1.38....8.1..3..6.9....1355..72...4,-5.60016075369162,-10.3308434014046
.245..1....37...5.65..2...859..3.86....19..3...1...27.4378.5..6.1.96......82....4,-7.10182715533263,-10.2793557211518
74.3..1.6.18..92....54....7...96..1.....5.73.2..7.89.45.71.....42..3....6.9..28..,-7.26483104716162,-9.88857044108974
.31..6...2.9.5..4.47....3.6..4.9.8...8.163.9.......735157..2..4....872.9..2.41...,-7.0288823682955,-9.38697869217835
.92...73...18.....7...6..185..3..87..4.91.6.39....62..1...85.626.3.72.94.........,-5.58879777834176,-10.5537725979999
..84.5..6296.....43....1.9..5.91...28...3..7..1..6795...43.81..6.....2.5...27.8..,-7.39833704632881,-10.0609963859072
5..9.7....41...95..67..18..42..8..363...56.91....72..5..2.14.7...9.3..4.65......2,-7.33881084304401,-10.3756704046126
..3..961.9..4....3.5..7394..6.1.85.27...9.8..24..6......4...3.7...58.2.18.12....6,-7.44479597476045,-10.6585911337781
.19...2.323...146...8..7......2.697.92.84...1.64.3...5...1.8.5.3.6.7..9.8..56...2,-7.59499566904479,-11.553924222263
.1..4..29..26.57.....3.9....941.28...7.9...13....8.6.42598...361.84.3...7.....1.5,-7.13831185609437,-10.3407895256144
569.1..78..4.7.2...3.9...6.6..5..19.12...3.46..34..8.2...2.83..47...9.....1.56...,-7.29856739315862,-10.3243916089828
.675.1.3.........9...6.84.5.5.716.8..41...2......293...95....48.12.4.5...8.9....6,-6.97942861593072,-8.88158231178472
....84.539....2.1....9..726..7..83..3594...8...4..76.1.8..135.......6..476.5....2,-7.15111105141249,-9.95006671212746
792..16......7..34..4.86....5.7.94.2.1..3.8....9.6...5.......816.14..57.583.2.9..,-7.24417468169516,-10.0700091281698
....43..7......285786.1.....5..68.9..71...84.6..9....331..8.6....962..5.2..4.197.,-7.38898130515814,-10.5084021385232
6.9.....13...7.2....8.39..5...41..5..6.5.28..9.4..3.6.7....8...28..573.4...2.19.7,-7.04877078878124,-9.48469656579601
5......2..4...96..3...58...2.67..1.989..1.5.3.37.....6.7.86.45..8...4.9....9.2..7,-7.03521653226916,-9.25749041621482
....41.76..5..8...2..76.8.9.821.4....7...29.54..97.1..5..3...8.3.1..5..469......3,-7.13978751928567,-9.97812570774659
..6..235...2..8.79.9.14..8...5.83.67.4.......7.861.2..5.......69.17..52...32.61.4,-7.29331090345299,-10.3578617273271
9.2..58.3...9......534...6..6.2..9.152...84..1.7....8...614.5..4....3.1787.6...3.,-6.9164436047256,-8.95214686268723
1......75...619.43.8.4...2...5....8.89....362..47.25.175..936...2...4..8..3..1..9,-7.10351539080005,-9.76225397997392
8.692...1.5.....7...7..4..26....3.5.53...624....18..9.19..7.3.4....1.72.3.2.58..6,-7.21573457652507,-10.038501313498
369..1.8......2....2.4.61.3.983...712..7..5...45..86.947..9..1.8.3.2...4..6.5.3..,-7.2702739549735,-10.0718363956163
.4.26.3.7..65.892.8...34....9..5.61.7.1..3..9453...8..372...4....5....6..8..19...,-7.37169871385574,-10.4984206667517
.6..5.....9..815.73.1..2.64..482....2...1.7.9.1893...67.......3.43...9..685....2.,-6.83073494750035,-8.80305046653455
...3...7.56.14..3..4...96...3...1..8198.3..67...29..5.31.6.248.8......2...7..5.91,-6.89884439293046,-8.89825419646202
